Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
fmt/build/bin/args-test,9453.0,1.0,369.0,369.0,131675.0,356.842818428184,1.0,0.0,0.962431276725718,0.0375687232742822,791392.0,6.35142183303833,True
fmt/build/bin/base-test,85374.0,1.0,3758.0,3758.0,493505.0,131.32118147951,1.0,0.0,0.957837813579859,0.0421621864201409,1475672.0,2.27034330368042,True
fmt/build/bin/assert-test,3960.0,1.0,185.0,185.0,115554.0,624.616216216216,1.0,0.0,0.955367913148372,0.0446320868516285,618136.0,1.39305353164673,True
fmt/build/bin/chrono-test,4809134.0,1.0,99923.0,99923.0,12170336.0,121.797143800727,1.0,0.0,0.97964517421574,0.0203548257842596,1699752.0,5.25593686103821,True
fmt/build/bin/color-test,5421.0,1.0,214.0,214.0,117379.0,548.5,1.0,0.0,0.962023070097604,0.0379769299023957,807200.0,1.54969954490662,True
fmt/build/bin/gtest-extra-test,27477.0,1.0,1663.0,1663.0,340141.0,204.534576067348,1.0,0.0,0.94293067947838,0.0570693205216198,919656.0,1.99385905265808,True
fmt/build/bin/format-test,198293.0,1.0,1548.0,1077.0,222382.0,143.657622739018,1.0,1.0,0.992253841804234,0.0077461581957656,1941784.0,2.21529531478882,True
fmt/build/bin/format-impl-test,11996220.0,1.0,636.0,636.0,163377.0,256.882075471698,1.0,0.0,0.999946986110361,5.30138896390854e-05,991280.0,2.3110249042511,True
fmt/build/bin/ostream-test,15185.0,1.0,1089.0,970.0,191720.0,176.051423324151,1.0,0.0,0.933083445987465,0.0669165540125353,934184.0,1.88565325737,True
fmt/build/bin/compile-test,12353.0,1.0,403.0,403.0,143933.0,357.153846153846,1.0,0.0,0.9684070241455,0.0315929758544998,1007136.0,1.8228280544281,True
fmt/build/bin/compile-fp-test,2871.0,1.0,151.0,151.0,111468.0,738.198675496689,1.0,0.0,0.950033090668432,0.0499669093315685,763728.0,1.35112619400024,True
fmt/build/bin/printf-test,286856.0,1.0,1520.0,1520.0,255303.0,167.9625,1.0,2.0,0.994729103670208,0.0052708963297916,1947168.0,3.50755286216736,True
fmt/build/bin/ranges-test,26062.0,1.0,660.0,660.0,162199.0,245.756060606061,1.0,0.0,0.975301249906444,0.0246987500935559,1014768.0,1.80650091171265,True
fmt/build/bin/scan-test,61223.0,1.0,350.0,350.0,143224.0,409.211428571429,1.0,0.0,0.994315690318809,0.0056843096811914,872352.0,1.85518574714661,True
fmt/build/bin/std-test,15131.0,1.0,452.0,452.0,140344.0,310.495575221239,1.0,0.0,0.970994031957903,0.0290059680420972,918744.0,1.83303761482239,True
fmt/build/bin/unicode-test,4061.0,1.0,258.0,258.0,128032.0,496.248062015504,1.0,0.0,0.940263949988423,0.0597360500115768,823088.0,1.47763991355896,True
fmt/build/bin/xchar-test,44260.0,1.0,1140.0,1140.0,262140.0,229.947368421053,1.0,19.0,0.97488986784141,0.0251101321585903,1286648.0,2.28428912162781,True
fmt/build/bin/enforce-checks-test,713.0,1.0,9.0,9.0,76964.0,8551.55555555556,1.0,0.0,0.987534626038781,0.0124653739612188,324992.0,1.25116491317749,True
fmt/build/bin/posix-mock-test,12491.0,1.0,562.0,560.0,172079.0,306.190391459075,1.0,0.0,0.956944763655865,0.0430552363441354,843096.0,1.8591148853302,True
fmt/build/bin/os-test,23331.0,1.0,925.0,925.0,457265.0,494.340540540541,1.0,0.0,0.961865105540897,0.0381348944591029,919208.0,1.81218409538269,True
AVERAGE,,,,,,,,,,,,,
SUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
