Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
spdlog/build/tests/spdlog-utests,4088628.0,33.0,181729.0,181729.0,18462694.0,101.594649175421,33.0,0.0,0.95744407317702,0.0425559268229799,2558728.0,61.25825548172,True
spdlog/build/example/example,102493.0,1.0,17088.0,17088.0,4259331.0,249.25860252809,1.0,0.0,0.85710104448031,0.14289895551969,688248.0,2.41427111625671,True
leveldb/build/env_posix_test,69222841.0,7.0,1864.0,1862.0,1314117.0,704.99839055794,7.0,0.0,0.999973073196917,2.69268030828011e-05,673248.0,21.0459339618683,True
leveldb/build/db_bench,3921509745.0,1.0,60901144.0,60901140.0,1555024875.0,25.5335905512711,1.0,0.0,0.984707468491456,0.0152925315085437,388936.0,958.550206184387,True
leveldb/build/c_test,6570897.0,1.0,47863.0,47859.0,10381484.0,216.899985374924,1.0,0.0,0.992768585052185,0.007231414947815,376376.0,8.77430272102356,True
fmt/build/bin/xchar-test,44260.0,1.0,1140.0,1140.0,262140.0,229.947368421053,1.0,19.0,0.97488986784141,0.0251101321585903,1286648.0,2.28428912162781,True
fmt/build/bin/unicode-test,4061.0,1.0,258.0,258.0,128032.0,496.248062015504,1.0,0.0,0.940263949988423,0.0597360500115768,823088.0,1.47763991355896,True
fmt/build/bin/std-test,15131.0,1.0,452.0,452.0,140344.0,310.495575221239,1.0,0.0,0.970994031957903,0.0290059680420972,918744.0,1.83303761482239,True
fmt/build/bin/scan-test,61223.0,1.0,350.0,350.0,143224.0,409.211428571429,1.0,0.0,0.994315690318809,0.0056843096811914,872352.0,1.85518574714661,True
fmt/build/bin/ranges-test,26062.0,1.0,660.0,660.0,162199.0,245.756060606061,1.0,0.0,0.975301249906444,0.0246987500935559,1014768.0,1.80650091171265,True
fmt/build/bin/printf-test,286856.0,1.0,1520.0,1520.0,255303.0,167.9625,1.0,2.0,0.994729103670208,0.0052708963297916,1947168.0,3.50755286216736,True
fmt/build/bin/posix-mock-test,12491.0,1.0,562.0,560.0,172079.0,306.190391459075,1.0,0.0,0.956944763655865,0.0430552363441354,843096.0,1.8591148853302,True
fmt/build/bin/ostream-test,15185.0,1.0,1089.0,970.0,191720.0,176.051423324151,1.0,0.0,0.933083445987465,0.0669165540125353,934184.0,1.88565325737,True
fmt/build/bin/os-test,23331.0,1.0,925.0,925.0,457265.0,494.340540540541,1.0,0.0,0.961865105540897,0.0381348944591029,919208.0,1.81218409538269,True
fmt/build/bin/gtest-extra-test,27477.0,1.0,1663.0,1663.0,340141.0,204.534576067348,1.0,0.0,0.94293067947838,0.0570693205216198,919656.0,1.99385905265808,True
fmt/build/bin/format-test,198293.0,1.0,1548.0,1077.0,222382.0,143.657622739018,1.0,1.0,0.992253841804234,0.0077461581957656,1941784.0,2.21529531478882,True
fmt/build/bin/format-impl-test,11996220.0,1.0,636.0,636.0,163377.0,256.882075471698,1.0,0.0,0.999946986110361,5.30138896390854e-05,991280.0,2.3110249042511,True
fmt/build/bin/enforce-checks-test,713.0,1.0,9.0,9.0,76964.0,8551.55555555556,1.0,0.0,0.987534626038781,0.0124653739612188,324992.0,1.25116491317749,True
fmt/build/bin/compile-test,12353.0,1.0,403.0,403.0,143933.0,357.153846153846,1.0,0.0,0.9684070241455,0.0315929758544998,1007136.0,1.8228280544281,True
fmt/build/bin/compile-fp-test,2871.0,1.0,151.0,151.0,111468.0,738.198675496689,1.0,0.0,0.950033090668432,0.0499669093315685,763728.0,1.35112619400024,True
fmt/build/bin/color-test,5421.0,1.0,214.0,214.0,117379.0,548.5,1.0,0.0,0.962023070097604,0.0379769299023957,807200.0,1.54969954490662,True
fmt/build/bin/chrono-test,4809134.0,1.0,99923.0,99923.0,12170336.0,121.797143800727,1.0,0.0,0.97964517421574,0.0203548257842596,1699752.0,5.25593686103821,True
fmt/build/bin/base-test,85374.0,1.0,3758.0,3758.0,493505.0,131.32118147951,1.0,0.0,0.957837813579859,0.0421621864201409,1475672.0,2.27034330368042,True
fmt/build/bin/assert-test,3960.0,1.0,185.0,185.0,115554.0,624.616216216216,1.0,0.0,0.955367913148372,0.0446320868516285,618136.0,1.39305353164673,True
fmt/build/bin/args-test,9453.0,1.0,369.0,369.0,131675.0,356.842818428184,1.0,0.0,0.962431276725718,0.0375687232742822,791392.0,6.35142183303833,True
./repos/c++/yaml-cpp/build/test/yaml-cpp-tests,1335902183.0,1.0,359310.0,359310.0,51613707.0,143.64673123486682,1.0,0.0,0.99973110801899,0.0002688919810098,9209240.0,102.50184631347656,True
./repos/c++/snappy/build/snappy_unittest,1351624.0,1.0,431.0,425.0,2655093.0,6160.308584686775,1.0,0.0,0.9996812259856293,0.0003187740143707,2170096.0,6.536380529403687,True
./repos/c++/magic_enum/build/test/test_wchar_t-cpp23,1162606.0,1.0,2605.0,2605.0,467586.0,179.495585412668,1.0,0.0,0.997764353408953,0.0022356465910466,2900264.0,6.75973320007324,True
./repos/c++/magic_enum/build/test/test_wchar_t-cpp20,1162606.0,1.0,2605.0,2605.0,467586.0,179.495585412668,1.0,0.0,0.997764353408953,0.0022356465910466,2900264.0,7.09560632705689,True
./repos/c++/magic_enum/build/test/test_wchar_t-cpp17,534876.0,1.0,2605.0,2605.0,467586.0,179.495585412668,1.0,0.0,0.995153317047486,0.0048466829525136,2854304.0,7.16521525382996,True
./repos/c++/magic_enum/build/test/test_flags-cpp23,1475507.0,1.0,2772.0,2772.0,486785.0,175.607864357864,1.0,0.0,0.998124846527618,0.0018751534723824,3253488.0,8.14865851402283,True
./repos/c++/magic_enum/build/test/test_flags-cpp20,1475507.0,1.0,2772.0,2772.0,486785.0,175.607864357864,1.0,0.0,0.998124846527618,0.0018751534723824,3253488.0,8.21401262283325,True
